
test 	Epoch 37/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.08075 	  acc_ave: 0.74259 	  

train 	Epoch 38/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 38/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.12744 	  acc_ave: 0.74239 	  

train 	Epoch 39/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 39/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.13692 	  acc_ave: 0.74239 	  

train 	Epoch 40/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 40/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.20486 	  acc_ave: 0.74299 	  

train 	Epoch 41/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 41/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.24436 	  acc_ave: 0.74319 	  

train 	Epoch 42/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 42/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.25587 	  acc_ave: 0.74339 	  

train 	Epoch 43/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 43/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.30244 	  acc_ave: 0.74319 	  

train 	Epoch 44/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 44/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.35500 	  acc_ave: 0.74239 	  

train 	Epoch 45/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 45/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.36800 	  acc_ave: 0.74299 	  

train 	Epoch 46/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 46/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.39775 	  acc_ave: 0.74379 	  

train 	Epoch 47/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 47/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.43178 	  acc_ave: 0.74339 	  

train 	Epoch 48/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 48/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.47221 	  acc_ave: 0.74299 	  

train 	Epoch 49/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  

test 	Epoch 49/300 	 Learning rate: 0.00100 	 Train loss_ave: 3.51708 	  acc_ave: 0.74239 	  

train 	Epoch 50/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.00000 	  acc_ave: 1.00000 	  
